qid,query
99712,What is Java bytecode How is it created
99766,Should I get Skyrim Special Edition or Battlefield 1 PS4
99779,Can Scotland and Northern Ireland join the European Union if they are still within the UK
99836,Who wrote Sherlock Holms
100055,What might be some really cool themes for college magazine
100192,What personal development blogs can you recommend
100344,What is the best content of the elearning course
100392,What is it like to do your articleship at KPMG
100734,What are the steps in the water cycle
100742,Who is the best actor in world
100802,Who is Shahrukh Khan of Hollywood
100847,Can we live without love
100883,How do I know when a girl loves me
100968,Should I buy the iPhone 7 or the iPhone 6S
100970,Do guns make Americans safer
100995,What direction are you travelling from malaga to gibralter
101061,Is it true that time stops inside a black hole
101180,What is the best way to prepare for an HR interview
101509,What should be done with the minimum wage
101611,How many root words are there in the English language
101621,How one can get a job in ISRO
101625,How much euro is printed
101707,What movie should I watch in 2017
101713,What are the steps to follow in social media marketing
101995,Why is healthcare so much more expensive in the US than the rest of the world
102059,What to do when nothing works 
102161,Would ISIS ever dare to attack Iran
102199,What is asked in TCS interview
102409,What are womens thoughts on nice guys
102487,What is social media
102566,Will Akhand Hindustan be recreated after India finally attains an Islamic majority
102605,How do I double my money
102640,Why are women treated so badly in India
102763,Why was Quora down March 31 2016
102979,What is the rate of change of acceleration
103054,Can I insert my signature at the end of my Quora answers
103069,How can I root my Android device
103148,Is there any way I can reach out to Dushka Zapata
103289,What made you start using Quora
103334,How do I have a safe sex without a condom
103365,What is the most horrible thing you have ever done
103425,Why are trees green in colour
103884,What triggered the Battle of Dunkirk
104146,How are Near and L related in Death Note
104169,How can I achieve a successful career and life
104263,Whats the best thing you learnt from Quora
104507,Whats the hardest bug youve debugged
104522,What should one do to become a public speaker
104542,Can a longdistance relationship last
104545,How do I start learning cloud computing
104582,What makes comic books worth reading
104595,What is your review of Raman Raghav 20 2016 movie
104651,What are some uses of Punnett squares
104653,Which is that one incident which made u feel God exists
104727,How can you know if someone is lying to you
104812,What do Chinese people eat for breakfast
105242,How do I delete Gmail from iPhone without deleting from server
105261,How can I take excellent care of my teeth
105386,What is mutualism in biology What are some examples
105418,How do you tie a tie
105515,What are the factors that can make your credit score drop
105592,Which chicken fast food place has the best fried chicken
105697,How do I identify true love
105725,What causes my first period to draw brown blood
105869,How I can apply for cds exam 2016
105892,How can I get rid of a very oily face
106008,How do I get over my fear of math
106236,What are some of the best books about diplomacy
106420,What is your review of Leonard Cohen
106656,How is the magnifying power of the microscope calculated
106721,How did you catch your spouse cheating
106743,What are the best places to hangout with friends in delhi
106820,How is the Linnaean system of classification used
106862,What do I do to improve my life everyday
107106,Film Direction What are some tips for a first time film director
107113,Whats Marc Bodnick going to do after Quora
107156,Who will be the next ameracan president
107389,What could replace swimming tulips fashions and butterflies for a more masculine bedroom because its too girly
107457,Why would Assad bomb his own people in Aleppo
107489,What are the most fun things to do in Cancun
107606,Im planning a oneday trip with my friends near Bangalore What are the best places to visit
107646,How do I prepare for TCS IT Wiz
107701,How would you decrypt an encrypted file knowing that it is an image file without knowing the extension of the file
107770,How do you deal with a narcissistic boss
107849,Will the recent assassination of the Russian ambassador start World War 3
108130,What do plants use sunlight energy for
108179,What is it like to have autism
108269,What are the things which make you happy
108438,Why is Hush puppies so hard to find in US
108480,How do I crack UPSC CSE in the first attempt while being under any circumstances
108497,What is the difference between shield and composite volcanoes
108684,Where can I get cheap and best clothings at Bangalore
108687,What are the perks of being an IFS officer
108711,Can I male human get a dog pregnant
108734,How do you cure premature ejaculation
108738,What is the healthiest food
108822,Why are most airliners painted white
108848,Why is time slower down near heavy objects
108889,What are the best free apps to meet girls
108897,How is your life after doing Btech Mtech and MBA
108925,Where can I get a full array of colors and sizes for bridesmaids dresses in Gold Coast
109029,How do I hack social media accounts
109149,What are the things you regret not doing
109212,Where should I invest my 10000 Rs
109245,What will be the effect of banning 500 and 1000 notes on people having money in Swiss banks
109292,What is the best way to reduce my appetite
109387,Would Mark Cuban be a good US president
109572,What was the first video you watched on YouTube
109600,Can someone listen to only metal not ACDC and Led Zeppelin but heavy stuff Do you or anyone else you know listen to only metal Is it possible
109725,What is the criteria for admission in BITS Pilani
109737,Mario Lopez says he married Ali Landry after six years of dating and divorced in two weeks because he never loved her How common is it for people to be together that long get married and not love each other
109823,How do I overcome the fear of spiders
109835,How do you spend your Sunday
109838,How do you overcome a food addiction long term
109944,What are some causes of pain on the right side above the waist
109970,Can I recove my Windows 10 when I factory reset it to windows 8
109994,How can I overcome nervousness when I speaking in public
110074,Is it a sin or bad to be a Muslim
110112,Who is better Raghuram Rajan or Urjit Patel
110140,Lev Grossman Who would win in a fight between Gandalf and Dumbledore
110597,Should I join HCL
110628,What is in lithium ion batteries
110736,What is it like to work for IT companies in your country
110876,How do I know hes interested in me
111083,How can I make a cv which will impress recruiters with no work experience
111303,How do you prove if f is monotone function on an interval then f is measurable on an interval
111412,What are some good introductory resources for exploratory data analysis
111416,What is your favorite music to listen to while traveling
111579,What is the first alien species to visit Earth most likely to look like
111597,Italy What do Americans think about Italians
111827,How dangerous are poisonous animals in New Zealand
111836,Can a bound morpheme in English contain more than one syllable
111873,Is Melania Trump fit to be the US First Lady
111920,Is first class worth the money
111991,Which ad networks for mobile native ads have good fill rates in Europe
112039,Can people see what I look at on my phone
112102,Why arent there cases of Indian girls married to foreigners
112142,How can I make myself more attractive to girls
112317,What is your favorite sport and why do you like it so much
112332,What is the solution for Cauvery issue
112339,If you were guaranteed three honest answers to your three questions which questions would you choose
112353,Why is Nitish Kumar supporting demonetization
112370,What is the function of a CPU in a computer
112491,Whats your prediction for the 2020 election
112553,Why is there no kind of freedom in North Korea
112764,Can a girl remains Unaccepted of true love from a boy because of her parents even she loves him
112865,Do some data centers not have higher machine failure rates than others
112965,What are the benefits of Apple getting rid of the headphone jack
112991,What is the difference between while and do while
113186,How do I know she is into me
113257,Is it possible to lose 45 lbs in 5 months
113264,What is the most scariest experience you have ever had in your life
113310,Whats the best prepaid debit card to use
113357,How can one understand others body language
113504,Why dont we already have nuclear fusion power
113507,How do I draw bending moment and shear force diagram
113512,What should one do to get more followers on Quora
113575,What happens when a company gets delisted from the exchange and you still own shares of the company
113594,Why do you love yourself
113621,Why did Narendra Modi tell that he cannot get involved in Cauvery River Water dispute
113672,Why does the quarterback in NFL football always lift his leg before the snap
113761,How much law of attraction works
113941,How can high school students earn money
113943,What is some proof of the existence of telekinesis
114019,How do I hide a contact on whatsapp
114149,Shouldnt temperature have units of J instead of K since it measures the average kinetic energy of a body
114152,Does being unemployed disqualify a man from dating
114238,Which is  was the best day of your life and why
114310,How do I leverage groups on LinkedIn
114487,How do I use WhatsApp in PC
114496,How can I be good computer engineer
114715,Does my SSN appear on my US Passport
114924,Is it highly unlikely that the 37 faithless electors will prevent Trump from assuming office
114941,Could anyone else explain Spoj GSS1 problem by drawing a segment tree
115033,Do attractive women ever get tired of being complimented on their beauty
115059,What is the difference between router and modem
115277,What are the best movies for kids
115556,How do I prepare for the NID entrance exam
115630,What is the best way to a successful life
115755,What made Facebook better than MySpace
115797,Should I worry about my apartment catching on fire and burning down
116040,How does one deal with emotional pain
116075,How do I deal with my parents comparing me to other children
116130,How can I change my baby fat in a healthy way
116144,Is it okay for the chin to move when singing vibrato
116148,Why are girls so confused and complicated
116189,How can I learn to play guitar on my own
116201,Which are the best biotechnology colleges in south India
116288,How do you create an empire in the 21st century
116453,I mind if my wife is virgin or not Is that normal
116615,What is the best photograph of government corruption
116644,I dont have an enrollment number or an Aadhaar card number What should I do
116715,What is the cost for a CT scan in Coimbatore
116932,How can I make money from affiliate marketing
116972,What are some good lawyers in Rapid City South Dakota area
117135,How can we control German Shepherd aggressive behavior
117178,Live in relationship is better than marriage
117474,Do guys like girls who are virgins
117549,How do I go to hell
117561,How can learning Morse code help me
117563,How do I recover my Facebook account password without a recovery email or phone number
117650,What should a yellow top coder do to get job
117687,What do we know about neuroplasticity
117714,How can you explain theory of relativity to a 13year old
117719,What is the difference between the right and left side of the headphones
117803,What is this Unified Payment Interface UPI all about
118013,I hear of this phenomenon white girls dating black american men What do white girls think of black African men dating is far out of the question 
118251,Is Indian Army the Best in the World
118388,Has anyone worked for two companies at the same time
118391,What parts do I need to build a gaming PC
118417,How could I cancel my movie tickets on book my show
118518,Which is the Best Bollywood movie in 2015
118588,What is the best way to register a company in Delaware without actually living in Delaware
118677,What is ecology
118924,Do I need to acquire some sort of license in order to cover a song
118960,Should prostitution be decriminalized
118975,Is there any nude beach in India
119051,Is being an introvert wrong or bad for me
119226,How does emarketing companies such as freecharge and paytm  profit despite coupons they give out to customers for promotion 
119442,If I have someone blocked on Instagram and I accidentally like their photo do they get a notification
119451,Why do some computer programmers develop amazing software or new concepts while some are stuck with basic programming work
119548,What are the good things about Pakistan apart from the good looking female cricket fans
119583,How can businesses use Pokémon GO to generate traffic and sales
119881,How do Americans celebrate New year
119960,What is the reason for inflation
119990,What are good books on web application security
120113,What is the formula for becoming a famous YouTuber
120171,What are the Unknown facts about Parineeti Chopra
120206,How we can do guest blogging
120371,Who are some of the best web design firms in Los Angeles
120507,Why all programming languages are in english language
120605,How would be our life without internet
120782,What are the programming languages dev uses on Console games
120852,What should I do to become a hedge fund manager
120908,What is best i5 6th or i5 7th gen
120951,How can you win an argument every time
121008,Any freelancer wants to sell hisher well established profile now unused
121021,What are the best job sites to find a job in Information Technology in Switzerland
121195,How much computer science does an 8 year old US kid typically know or is taught in school curricula  
121306,If Bill Gates donates so much of his money how is he still one of the top three richest people in the world
121461,What work is done in it companies
121567,Is becoming a doctor worth it mentally and financially
121695,What should I mix Malibu Rum with
121827,Why did President Obama win the Nobel Peace Prize
121959,What is the meaning of death
121978,Why does hair turn gray
122007,Should a start a YouTube channel that reviews apps
122263,How is the SP Jain Global MBA program in terms of Quality fees placement and value
122278,What are the benefits of drinking mint green tea
122377,How do I stop my American StaffyKelpie mix from biting my stuff
122403,How do I become a hardware engineer
122461,How can bats hang upside down while they sleep
122798,How much did it cost to build typhoon lagoon
122865,How can I lose 20lbs fast
122894,What are latent functions What are examples of latent functions
122897,How can one be a good physicist
123026,What are the best books to start learning Machine Learning for beginners
123062,How does someone derive the number pi
123169,Why has the speed of Reliance Jio been degraded drastically after Jan 1 2017
123295,How do I download Pokémon GO on Android phone in India
123404,What is stockholding
123502,Which programming languages are used in the military
123660,Why did mulayam Singh Yadav expel his son Akhilesh Yadav CM of UP out of Samajvadi Party
123735,What is best mutual funds to invest
123780,Why do antibiotics cause acne
124092,How does one has to face insults
124146,Why do the British media refer to Myanmar as Burma
124163,How does it feel to be a rapist
124262,Why is Hannibal Lecter a psychologist
124381,How do I change file system Raw to Ntfs 
124400,Is a tempered glass screen protector for a phone worth it Does it really protect your phone from drops
124524,Who is the best actor in Game of Thrones
125001,What is the best music player or software for PC
125003,What is meant by rheostatic braking
125118,How do sociology and social work differ
125241,Can a man date a prostitute
125267,Who are some of the greatest mathematicians
125667,How are Hanes tshirts made
125892,How can I find app developers
125952,When was the first subway  metro built in the world
126058,What is it like to be a child of a psychopath
126086,Is Coolpad a reliable brand
126139,Is time the fourth dimension
126208,What is plasma matter
126302,What should I do about a bruise that wont go away
126461,Which is more important journey or destination
126553,What are some ways of treating a crooked smile
126758,Who is a Hypocrite
126844,What is required to construct or setup a supply chain from scratch I want to do it for marketing of vegetable produces of rural areas in WBengal
126974,How do I prepare for an AIEEE and boards together
127052,What if I dont attend the orientation day of my college I am a student of BSc Zoology Honours in Ramjas College preparing for medical entrance exam
127066,What are the most random questions asked on Quora
127102,How can I get back my focus for studying
127266,Are there any billionaires or millionaires who want to get rid of their fortunes or not
127477,Is it possible to be happy all the time
127494,How can I motivate my 6yearold child to practice piano
127512,Who is the best broadband service provider in Mysore
127520,How can I study for longer hours without falling asleep
127641,What should I do if I lost my password to my Instagram account
127662,What is the best way to overcome your phobia
127721,What does it feel to be a muscular man
127727,Which is best book for digital signal processing
127877,Why does my heart beat fast for no reason
127899,What is the scope available jobs of a psychology degree in India
128118,What are the movies that made you cry
128173,Can biting nipples stunt breast growth
128201,What would happen to Pakistan if it is declared as a terrorist state
128272,Should I disclose to my boyfriends Im a recovering sex addict who struggles daily
128289,How do I start preparing for NEET2017 from now
128304,How do you know the man really love you or not
128725,How do I prepare for GRE in 20 days
128777,What is meant by common rail direct injection in vehicle engines
129208,Which universities should I apply for
129353,What is the difference between an enterprise content management system ECM and a content management system CMS
129556,What are some rare facts about Jim Morrison
129565,How is solar energy stored
129601,Which website can I download free movies or apps apart from the torrents and apps
129954,What is the pathway to get a green card after studying a masters in the USA
129960,What is the best way to improve stamina
129985,How legit is carbon dating
130128,Who is the mastermind behind the idea of banning 500 and 1000 Rs note in India
130130,What industries are ripe for disruption
130244,How do I move out
130300,Why is Aam Aadmi Partys donation list missing from the website
130305,How can comcast become the largest internet service provider in USA in spite of their horrible customer service
130519,Why do people believe in Islam
130531,When will people be able to live on Mars
130624,What is the best way to raise children who are critical thinkers
130645,How do you know if someone blocked you on Kik
130716,When is the best time in your life to travel
130819,How can you compare transformation transduction and conjugation
130920,What all can I do to secure a job in Google I am a student pursuing diploma in electrical engineering currently
131157,What is a safe way to lose 13 pounds in one week
131178,What does it mean when a phone rings once and then goes straight to voicemail
131256,Sports The FIFA World Cup was stopped in World War 2 How come there was not a tournament in 1946
131435,Are digital profit courses real or fake
131456,How can I get back my original skin colour Its tanned
131763,What banks do open accounts online
132233,How do DNA and RNA compare
132244,What is the coolest programming language to learn
132382,How do you get a verified profile or page on Facebook
132421,What will happen to the stock market if Trump gets elected
132464,Can you mention him or her who has taken bsc drop and is in AFMC
132642,What is the most profitable business in the world
132658,Which are the best English TV shows to watch
132823,How should I prepare for the CBSE class 12 board exams
132911,Was there existence of time before big bang If so how did time originate If not how big bang occurred in no time
132924,Which phone should I buy if my budget is 12000
132931,What is Hawala And what is the Hawala scandal
132986,What is the best food to try when visiting India
133063,What is the various guidelines or norms for villages for the provisions of different infrastructure facilities
133147,Is there any good evidence or any logical argument concerning whether the universe is finite or infinite
133504,How can I get bitcoins in India
133591,I love Ted Talks In your opinion what are the top 5 best Ted Talks and why
133769,How do I get rid of these thoughts
133848,Who is the greatest rapper of all time dead or alive
133990,What is Vimeo and how do you use it
134123,What is the future of operations management in India
134187,What are the best Ninja Turtle games
134272,How Can I improve problem solving
134288,How do you remove spray paint from glass
134289,What are the best bank exam books
134426,How do I improve memory and concentration
134435,What happens if a plane must make an emergency landing and spend time in a country where the passengers would normally require a preacquired visa
134474,Where can I find good Indian food in Tokyo
134591,How would utilitarianism evaluate the banality of evil
134699,What are the heaviest metals
135120,Why is Africa so rich but so poor
135177,Why do women often send mixed signals
135199,What are the best and worst episodes of Comedy Nights with Kapil
135488,What are the the best books to read on human psychology its functioning and interesting facts related to human mind
135490,What were the reasons behind the IndianPakistani partition of British India
135517,Are Iranian Persian women attracted to East Asian men Korean JapaneseSoutheast Asian men Filipino Thai
135560,Can peace ever be attained
135578,What is the level and type of violence in Westworld
135707,How can I gain weight and develop fitness
135813,What are the best cold emails youve ever received
135844,Which is the most valuable coin of your collection
135847,Which parts of the female body are most sensitive
135869,What is the best way to cook smoked salmon
135874,How can you stop overthinking about everything
135956,What are some tips to train German Shepherdyellow Lab mix puppies
136015,Who is the most aggressive cricketer
136038,Why isnt cricket popular in the USA
136462,What are great books to learn about Astrology
136509,Is Queen Elizabeth known to be a genuinely kind person
136644,What can you tell about a person through their handwriting
136770,What type of videos on YouTube do you watch the most 
136845,How does one be humble
136942,Can the dragons beat the White Walkers
136978,How can I get an admission in LLB after graduating
137114,How do I play League of Legends
137436,Why do highly intelligent people get bored quickly
137501,Is it worth to do the Insanity workout
137589,How do I merge profiles on Quora
137599,What evidence if any is there supporting alternate  parallel universes
137670,What are the some rare photos of world history
137883,What is the difference between wine and champagne
137946,Can I establish a startup business in Germany while on a student visa
137966,How can you determine the pH value of blood
138034,What do soft skills consist of
138139,Why do some people hate to say sorry
138189,Is there any way to travel faster than light speed
138289,What do people of Pakistan think of China
138325,How to get employment history
138340,Can I use any image from googlewebsite in my blog along with mentioning the credits for the image
138469,Is it possible that the speed of light isnt in fact a constant but perhaps changes with say a correlation to the expansion of the universe
138499,What is the mechanism of acrosome reaction during fertilization
138619,How can I prevent acne
138660,What are the disadvantages of social security What are the advantages
138775,Is this the correct answer for beal conjecture
138868,Which are the most underrated movies ever
138872,Which field of engineering gives the highest salary
138900,What are the biggest problems facing Brazil
138937,What is the best bunn coffee grinder
138968,What super powers would you like to have
138995,How does one acquire parts to build a robot from scratch
139153,How much do the poker chips used in the WSOP weigh
139375,Where can I quickly sell my domain name
139389,Are parallel universes real
139474,Whats the reason for the conflict between Palestine and Israel Why do they want to kill each other
139519,What is vedic mathematics
139611,Why do men pay for sex
139751,What does kiosk application do
139836,Why do people die instantly when they get their neck broken atleast in movies
139876,How do I become less of an introvert
139902,How do I find a market for a product
139912,If you were an animal which one would you be
140437,Why has Hillary Clinton been so quiet since the election
140517,Are girls more intelligent than boys
140573,What is the best prank ever Why
140592,How many times a married couple have sex in a week
140603,Why do I talk a lot with friends on social media while have nothing to say in real world
140615,What are your favorite Twitter accounts
140644,Why is semen white in colour
140936,Whats the highest mountain in the world
141046,How do I enable an OTG support to my vivo v1 that does not have an OTG support
141057,Whats the fastest way to get tattoos removed
141448,Why do some adults like to bully others
141653,Is there any difference between faith and belief
141850,Which is the best portal for reading books online
141917,How and where should I start learning C
142014,What was Leonard Cohen like in real life
142037,If Windows becomes completely unresponsive while playing a game is it safe to force a shut down and will it affect the hardware in any way at all
142211,On the off chance that you were on death line what might you ask for your last dinner
142315,Is it possible that aliens exist
142421,How do you hide an erection
142584,What are some good one line jokes
142598,How do they convert CGPA to percentages
142669,Why do you hate Chinese
142902,Does Antarctica have oil
142973,Which is the best book for understanding Kali Linux
143195,What if Hillary Clinton hired Trump to sabotage the Republican Party but Trump now believes he can fly solo and become president
143210,Why is gravity less in the Hudson Bay area than other parts of the world
143218,How do parrots learn to talk
143311,What is the reason behind the sudden surge in the number of medals won by Great Britain at the Rio Olympics
143463,How do I become good at everything I do
143549,How is Elon Musk supposed to be an engineer
143622,How do I tune my guitar by myself
143629,Can a dog kill a wolf
143875,Would Modi dare to abolish the reservation
143955,How do you overcome a crush with strong feelings for them
144036,Is America the best country in the world
144053,What really matters in this life
144113,What are some of the best project management tools
144209,How do I invest in uber stock
144229,How is the word ameliorate used in a sentence
144423,What is the future of big data in india
144719,What is seed funding and which companies are seed funding
144754,When passing all the exams what is it like to be a chartered accountant here in India
144841,How will withdrawal of rs 500 and rs 1000 notes will affect middleman
144908,What about the job of psychiatrist
145118,Do British people like Americans accents as much as Americans seem to like British accents
145161,Is there a way to make sure youre not unintentionally reusing someone elses book idea when writing a new book
145166,What is The Legend of Korra about
145214,Is using VPN safe
145520,How do you think the US will handle the upcoming demographic shift to becoming a multi ethnic country which is no longer majority white
145579,Will I be able to return to work after wisdom teeth removal
145580,How does Sharad Pawar had become what he is today
145638,What were the major events that happened in 1922
145684,Which is the best way to convert Indian percentage into US GPA
145730,What does it feel like to be a UC Berkeley student
145918,How would you communicate with aliens
145943,How can you print an eticket by using a PNR number
146060,What do explosions look like in space
146291,Should I learn German and French
146314,What is periodic table
146407,How the world would look like without money
146485,What financial advice can retirees give a 30 year old
146532,Why do people merge unrelated questions on Quora
146656,What are some good website topics to blog about
146695,Why dont guns have fingerprint detection capabilities
146764,Can you still go to heaven if you commit suicide
146786,When confronted in Episode III how does Sidious kill 3 Jedi Masters so easily
147080,How do the safety records of Boeing aircraft and Airbus aircraft compare
147156,Is there up and down in outer space
147241,Are there animals with three legs
147377,How do I become a good programmer in C
147554,Can I use MySQL with JavaScript
147658,What is best software for speech to text
147755,What is phase 1phase and 3phase in electrical system
147763,How do I forget my first crush
147859,Which job is better a public sector or a private sector
147882,What are some surprising things about Azerbaijan
148056,How can I get wax stains out of a tablecloth
148102,Which problems should be attempted first in TopCoder by a newbie
148132,Are diamonds suitable for wealth preservation
148154,How do nonprofits make money to specifically pay and give raises to employees
148502,Why do you believe in ghosts and the supernatural
148553,Was Bill Clinton cooler president than Obama
148589,How can I pursue law after bcom
148594,Is Quora addiction unhealthy
148676,How do I improve my general knowledge
148814,Why are bananas bent
148896,What is the best online course for learning programming
148994,How does Google Maps know about traffic details
149151,What is muscle memory
149224,What is your experience as a STSC candidate in India
149256,Does Donald Trump discriminate against Asians
149292,What are the differences between bar codes and qr code
149342,What is the importance of the forest and wildlife conservation
149376,Is increasing height after the age of 20 possible
149651,What can India and Indians do to attract more international tourists
149689,What are most intelligent people today
150013,Which is the best mobile to buy
150050,If a long time vegetarian eats meat for the first time will they get ill because they do not have the right gut bacteria
150204,What are some of Dushka Zapatas favorite songs
150230,Which event turned your life around
150244,Why is China supporting Pakistan terrorism
150291,What is lobotomy
150360,Do people dream during comas
150399,Which one is the better online shopping site for buying smartphone
150670,What are the best books to prepare for the OCPJP certification exam
150794,How do you update a Samsung Galaxy S Advance to Jelly Bean in India
150859,Why do so many people hate their jobs
150898,Why do some people hate Rajdeep Sardesai
151071,What is the best way to earn pocket money for a college student online
151775,Difference between big data  Hadoop
152144,How has being on Quora changed you
152423,Is a rice cooker the same as a slow cooker Why or why not
152437,What should a high schooler do in preparation for medical school
152460,Can I flush cat litter in a common toilet Why or why not
152779,What should I do if I am going to start a coding club in my college
152792,What is the best way to learn number theory for amateurs
152805,What would happen if a very powerful Solar Flare or CME hit the Earth
152836,What are some small but hot topics for mechanical engineering for PPT
152887,What are some mind blowing vehicles gadgets
152920,How can I tell the difference between a two way window mirror and a real mirror
152971,What is the best online training for freshers
153016,What are some important things that are missing on Quora
153258,What were Alexanders biggest accomplishments
153743,Is the UK a declining economy
153799,Is Dubai really a place to settle in
154103,I am studying in class 12 PCM can some one give information about engineering entrance exams for year 2017 other JEE
154114,Is it worth living in Vienna
154210,What is George Carlins best rant
154288,What are the countries that support India for a permanent seat in the UN
154394,What are some useful blogs for computer science engineering student
154475,Why do we have legislative council in india
154576,What is the best university
154887,What are bands similar to Pink Floyd
155026,Can you suggest some excellent documentaries on World War 2
155082,What would the world look like without religion
155089,How do people improve confidence in public speaking
155494,Why Delhi is a union territory
155724,What are the best coaching classes for IAS preparation in Pune
155768,What are the best side dishes to serve with filet mignon
155795,How much iron atoms would it take for the sun go nova
156061,What are some sentence examples using precedent
156075,Do parallel lines intersect at infinity infinity in any field of math
156091,How are the middle schools in minneapolis mn
156170,Can you make a living off of web design alone
156296,What would happen if a gamma ray burst hit our sun
156303,Which is the best cosmetic brand in India
156361,Which is your favorite element and why
156751,How could South Vietnam America have won the Vietnam War
156765,Why did Modi government exempt political parties from tax on deposits of old 500 and 1000 rupees notes Is he succumbing to pressure
156802,What are the physical tests  requirements for becoming a pilot in India
156918,Which is the most widely used file system
157302,Is India the most culturally and ethnically diverse nation on planet
157454,What is the meaning of energy
157482,Whats the best way to sell art
157743,How do I know Im not wasting time
157922,What should I know to learn JDBC
157987,Which are the worst medical colleges in India
158008,What are some examples of mythological allusions
158042,How do humans have allergies
158045,What cultural value does the Asian elephant have in China and how does this benefit their conservation
158284,What is contract law
158369,Why do a lot of elevators have mirrors on the interior
158372,Who are your favorite intellectuals
158397,Is scientific calculation allowed in NSEP
158432,If a Twitter user has been inactive for over 6 months can I get their username
158487,How do I prepare for my class 10th board exams with two months left
158506,Why do we need to take care of elderly people
158582,Why was the Makar Sankranti kite festival created
158626,Which serial killers were addicted to drugs and which crimes have they done while they were
159081,How do you get into the movie business and industry
159159,What is your favorite NonFiction book 
159358,How do I deal with a friend stealer
159443,Who was the coolest person
159480,What does the S in iPhone 4S 5s 6s mean
159496,Why is it that south East Asian actresses are not very sexy
159595,If the black hole was to replace the sun and take the mid orbital of the planets would it suck the Earth
159715,How do I participate in a buyback offer
159806,How to become a good listener
159971,What are the best papers on recurrent neural networks
160135,Is India is an ally of Israel
160178,What do you think is something that is super important and people dont know about
160278,What is your favorite thing to do
160295,What are some good and basic projects of signals and systems using MATLAB
160380,How can I promote my questions on Quora
160444,What is the expected cutoff of NTSE stage 1 up 2017
160720,How can I motivate myself to wake up early
160894,What is the best way to see activeinactive projects in Jira as well as team workload
160960,Why do I care about peoples opinions of me so much
160986,How do I practice gratitude daily
161292,Why men are wearing underwear
161306,If sun suddenly disappeared then we will know after 8 minutes but in what time earth will go in straight line
161343,Why do I feel detached from my emotion
161612,What is the concept of God according to Judaism
161651,How do I protect single phasing of a 3 phase motor
162052,If a person is born blind what do they see in their dreams
162174,How do you know if you cat loves you
162204,What is the worst thing you have done without regretting
162253,How does Google earn money
162310,What are the things that made India happy
162328,How can I download any series without using torrent
162575,Is it possible to score above 70 by studying only in last 2 months for BSc examination
162648,Will there be any problem if I root my Android device
162669,Should I leave my job and prepare for CAT
162691,Who do you think is the funniest YouTuber
162907,What are some of the most closely guarded secrets
162919,Can we possibly have particles with negative mass
163078,What can I do to gain more attention on Quora
163181,Did Donald Trump just advocate gun violence against Hillary Clinton
163186,I want to suicide what should I do
163379,How can I know who follows me on Quora
163399,Is intelligence hereditary or environmental
163464,How do I shave my pubic hair
163589,Why should I learn phrasal verbs
163688,Why are there no lightnings during a snowstorm
163732,From where I should start learning JavaScript
164025,How do you charge a laptop without a charger
164056,What are some examples of fiction
164105,What are some examples of software packages
164215,Why is Greece considered the birthplace of Western civilization What cultural aspects did Greece develop that made Greece different from Middle East
164263,What are the best books for JEE
164292,How do I grow an audience on my new blog
164423,What is processor affinity
164439,Which is the best mind game ever played
164735,What does it mean when a guy calls you bad
164872,How do I clean off an old knife blade
164879,What do the Tropic of Capricorn and the Tropic of Cancer represent
165147,How can light be reflected if it is made up of photons that are mass less
165422,What mathematical problems cant be solved with mathematics
165614,How do Pokémon die
165631,Can drinking too much coffee actually make you more tired
165689,Who really shot John F Kennedy
165745,Who won in The Battle of the Five Armies
165755,Can I pursue a B Com h regular with CA
165847,Which books and magazines should an MBA student read
166113,What is the economic impact of increasing the minimum wage
166161,How would I directly record the sound from my headphones
166185,What are my chances of being accepted to the Phillips Exeter Academy
166194,What is the scariest story you have ever heard
166350,Where can I find Commercial painters in Brisbane
166416,If you were staying over at a friends house for several nights would it be rude to invite your friends over without asking your hosts
166504,Why should I store beer cans in my fridge
167132,How old is The Rolling Stones
167177,What are some epic Tattoo stories
167265,What bothers you the most about yourself
167370,How many users are use Quora
167476,Who would win in a fight Marvel or DC
167532,If length of transmission line is double then inductance will be
167564,How do people get so much of leisure time to write such novelsize long answers here on Quora
167590,How can you convert an internalcombustionpowered car into an electricpowered car
167882,Does Donald Trump really write his own tweets
167927,How do I paint with acrylic
167929,Why is Washington DC not a state
168184,How do I decorate a bedroom with a 2007 theme
168204,Why does the lollipop stick have a hole in it
168294,What are the differences between conduction and convection What are their similarities
168313,Why did Mike Pence replace Chris Christie as the representative in charge of the Trump transition team
168515,What are black holes How are they formed
168623,What were the major contributions of the political leaders during WW1 and how are the compared to the ones during the Balkan Wars
168731,What is your first selfie in 2017 like
168838,How reliable are DCT transmissions
168901,Why density of ice is less than water
169073,How do I convince a lady to have sex with me
169075,Is there a coworking space that is exclusively meant for fashion designers
169114,I feel like a loser what should I do
169194,If Trump were elected would he pardon Edward Snowden
169322,What is the defining skill that Elon Musk possesses that has led to his success in so many industries
169495,What are the most noteworthy or useful capabilities of Amazon Echo
169620,Can Pakistans GDP hit 1 trillion by 2030
169739,Why would a small business need a mobile application
169779,What is a forum
169907,Do you often like to sing
169965,What is the best financial investment youve ever made
170074,Why are birth rates dropping in developed countries
170094,Whats the population of the usa
170164,What is the difference between Clustering and Classification in Machine Learning
170210,Whats the best way to dispose of a body
170356,Whats a good book on corporate finance
170421,Is RT a reliable news source
170600,If North Korea declared war against the USA who would help them
170605,Can I really earn from Clickbank
170641,How do I flirt with a guy online
